tipoPropiedad,precioUSD,fechaUltimaActualizacion,terrenoTotal,terrenoEdificado,cantDormitorios,cantBanos,cantCochera,barrio,coordX,coordY,vendedor,comisariaCercana,transporteCercano,saludCercana,distanciaCentro,pm2,valComisaria,valTransporte,valSalud,valoracionServicios,geometry,barrioName
1,192000,2023-07-31,250.0,160.0,3.0,3.0,1.0,180,-31.452063,-64.240308,2,0.4972459420095207,0.404836442733525,0.5888587183355336,6.042542580370682,1200.0,0,0,0,0,POINT (-64.240308 -31.452063),MANANTIALES
1,129000,2023-07-15,140.0,115.0,3.0,2.0,2.0,180,-31.448105,-64.2248,2,1.4098363043521898,0.0321646260895274,1.1866613863379598,4.62200963033066,1121.7391304347825,0,0,0,0,POINT (-64.2248 -31.448105),MANANTIALES
1,155000,2023-06-15,120.0,120.0,3.0,2.0,2.0,190,-31.454063,-64.243965,2,0.7963268306756639,0.508231766247966,0.5717692534754897,6.453940224596072,1291.6666666666667,0,0,0,0,POINT (-64.243965 -31.454063),MIRADORES DE MANANTIALES
1,240000,2023-08-05,360.0,210.0,3.0,3.0,2.0,74,-31.4518898,-64.2358908,0,0.6394964621908681,0.321539108934649,0.9578070792997736,5.696980431416853,1142.857142857143,0,0,0,0,POINT (-64.2358908 -31.4518898),COSTAS DE MANANTIALES
1,100000,2023-08-04,180.0,105.0,3.0,3.0,1.0,226,-31.4577055,-64.2451952,0,1.2142102750939836,0.4276114828764555,0.9598239457677248,6.790490133325037,952.3809523809524,0,0,0,0,POINT (-64.2451952 -31.4577055),PRADOS DE MANANTIALES
1,124999,2023-07-29,250.0,137.0,3.0,2.0,1.0,180,-31.4543844,-64.244616,1,0.8560267993344625,0.4876347686917807,0.5953453899729186,6.5249335298035405,912.4014598540145,0,0,0,0,POINT (-64.244616 -31.4543844),MANANTIALES
1,300000,2023-07-29,362.0,270.0,4.0,2.0,2.0,239,-31.4531648,-64.2325675,0,0.9653151773304528,0.0254222874258578,1.3024330649262408,5.546158716409903,1111.111111111111,0,0,0,0,POINT (-64.2325675 -31.4531648),RIBERAS DE MANANTIALES
1,124000,2023-07-26,125.0,125.0,3.0,3.0,2.0,190,-31.4555561,-64.2472744,0,1.1015047618868825,0.4941565895121061,0.7414008094925629,6.805839251968273,992.0,0,0,0,0,POINT (-64.2472744 -31.4555561),MIRADORES DE MANANTIALES
2,105000,2023-08-08,100.0,75.0,2.0,2.0,1.0,74,-31.4533653,-64.2365884,1,0.735427175948162,0.2038608406287132,0.965162378519433,5.851312658037023,1400.0,0,0,0,0,POINT (-64.2365884 -31.4533653),COSTAS DE MANANTIALES
2,138000,2023-08-01,75.0,75.0,1.0,1.0,1.0,180,-31.4539024,-64.2380504,0,0.7354240205678908,0.1202004228101719,0.882366921214746,5.996673612556415,1840.0,0,0,0,0,POINT (-64.2380504 -31.4539024),MANANTIALES
2,85000,2023-07-25,70.0,70.0,2.0,1.0,1.0,180,-31.4574701,-64.2448243,0,1.1769226099626031,0.3967571017911329,0.9351713717282762,6.7466522397137405,1214.2857142857142,0,0,0,0,POINT (-64.2448243 -31.4574701),MANANTIALES
1,135000,2022-10-14,140.0,140.0,3.0,2.0,1.0,180,-31.4605808,-64.2414074,2,1.4476975035598056,0.2791071171042617,1.1534212497713656,6.720855918310865,964.2857142857143,0,0,0,0,POINT (-64.2414074 -31.4605808),MANANTIALES
1,102000,2023-04-17,105.0,100.0,2.0,1.0,1.0,190,-31.4532344961,-64.2407821798,2,0.6286943979876227,0.3491392904087942,0.6391656483873149,6.1560252378098,1020.0,0,0,0,0,POINT (-64.2407821798 -31.4532344961),MIRADORES DE MANANTIALES
